[2025-02-08 14:49:02,047] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
{'loss': 1.1341, 'grad_norm': 11.272947311401367, 'learning_rate': 8.080161054172769e-06, 'epoch': 0.27}
{'loss': 1.0662, 'grad_norm': 11.057072639465332, 'learning_rate': 8.06185944363104e-06, 'epoch': 0.28}
{'loss': 1.0925, 'grad_norm': 10.692522048950195, 'learning_rate': 8.043557833089312e-06, 'epoch': 0.28}
{'loss': 1.175, 'grad_norm': 10.224228858947754, 'learning_rate': 8.025256222547585e-06, 'epoch': 0.28}
{'loss': 1.1699, 'grad_norm': 12.365250587463379, 'learning_rate': 8.006954612005857e-06, 'epoch': 0.28}
{'loss': 1.1112, 'grad_norm': 10.297386169433594, 'learning_rate': 7.988653001464129e-06, 'epoch': 0.28}
{'loss': 1.0663, 'grad_norm': 10.648868560791016, 'learning_rate': 7.970351390922402e-06, 'epoch': 0.28}
{'loss': 1.0964, 'grad_norm': 10.704828262329102, 'learning_rate': 7.952049780380674e-06, 'epoch': 0.28}
{'loss': 1.2057, 'grad_norm': 11.818172454833984, 'learning_rate': 7.933748169838947e-06, 'epoch': 0.29}
{'loss': 1.0931, 'grad_norm': 11.07501220703125, 'learning_rate': 7.915446559297218e-06, 'epoch': 0.29}
{'loss': 1.1215, 'grad_norm': 11.136661529541016, 'learning_rate': 7.89714494875549e-06, 'epoch': 0.29}
{'loss': 1.2322, 'grad_norm': 10.558263778686523, 'learning_rate': 7.878843338213763e-06, 'epoch': 0.29}
{'loss': 1.1645, 'grad_norm': 12.312292098999023, 'learning_rate': 7.860541727672035e-06, 'epoch': 0.29}
{'loss': 1.1232, 'grad_norm': 9.642885208129883, 'learning_rate': 7.842240117130308e-06, 'epoch': 0.29}
{'loss': 1.179, 'grad_norm': 12.080158233642578, 'learning_rate': 7.823938506588581e-06, 'epoch': 0.3}
{'loss': 1.0884, 'grad_norm': 11.103056907653809, 'learning_rate': 7.805636896046853e-06, 'epoch': 0.3}
{'loss': 1.1179, 'grad_norm': 10.310457229614258, 'learning_rate': 7.787335285505125e-06, 'epoch': 0.3}
{'loss': 1.1258, 'grad_norm': 11.556866645812988, 'learning_rate': 7.769033674963398e-06, 'epoch': 0.3}
