[2025-03-01 02:38:10,548] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
{'loss': 1.0882, 'grad_norm': 6.302333354949951, 'learning_rate': 8.54320987654321e-06, 'epoch': 0.01}
{'loss': 1.2367, 'grad_norm': 7.552009105682373, 'learning_rate': 8.592592592592593e-06, 'epoch': 0.01}
{'loss': 1.4211, 'grad_norm': 6.397426128387451, 'learning_rate': 8.641975308641977e-06, 'epoch': 0.01}
{'loss': 0.9945, 'grad_norm': 5.191342353820801, 'learning_rate': 8.691358024691357e-06, 'epoch': 0.01}
{'loss': 1.2229, 'grad_norm': 5.615530014038086, 'learning_rate': 8.740740740740741e-06, 'epoch': 0.01}
{'loss': 1.3553, 'grad_norm': 6.503141403198242, 'learning_rate': 8.790123456790124e-06, 'epoch': 0.01}
{'loss': 1.064, 'grad_norm': 4.8029632568359375, 'learning_rate': 8.839506172839508e-06, 'epoch': 0.01}
{'loss': 0.8943, 'grad_norm': 4.6469407081604, 'learning_rate': 8.888888888888888e-06, 'epoch': 0.01}
{'loss': 1.3186, 'grad_norm': 7.651300430297852, 'learning_rate': 8.938271604938272e-06, 'epoch': 0.01}
{'loss': 1.2209, 'grad_norm': 6.024899959564209, 'learning_rate': 8.987654320987655e-06, 'epoch': 0.02}
{'loss': 1.3642, 'grad_norm': 6.829161643981934, 'learning_rate': 9.037037037037039e-06, 'epoch': 0.02}
{'loss': 1.3001, 'grad_norm': 6.588872909545898, 'learning_rate': 9.08641975308642e-06, 'epoch': 0.02}
{'loss': 1.2961, 'grad_norm': 7.855538368225098, 'learning_rate': 9.135802469135803e-06, 'epoch': 0.02}
{'loss': 1.2572, 'grad_norm': 6.552793025970459, 'learning_rate': 9.185185185185186e-06, 'epoch': 0.02}
{'loss': 1.143, 'grad_norm': 5.516788482666016, 'learning_rate': 9.234567901234568e-06, 'epoch': 0.02}
{'loss': 1.1282, 'grad_norm': 5.946418762207031, 'learning_rate': 9.28395061728395e-06, 'epoch': 0.02}
{'loss': 1.0457, 'grad_norm': 6.257468223571777, 'learning_rate': 9.333333333333334e-06, 'epoch': 0.02}
{'loss': 1.4334, 'grad_norm': 7.389659404754639, 'learning_rate': 9.382716049382717e-06, 'epoch': 0.02}
{'loss': 0.8929, 'grad_norm': 5.689949035644531, 'learning_rate': 9.432098765432099e-06, 'epoch': 0.02}
{'loss': 1.0577, 'grad_norm': 5.359282493591309, 'learning_rate': 9.481481481481481e-06, 'epoch': 0.02}
{'loss': 1.057, 'grad_norm': 7.793882369995117, 'learning_rate': 9.530864197530865e-06, 'epoch': 0.02}
{'loss': 0.7313, 'grad_norm': 5.34342622756958, 'learning_rate': 9.580246913580248e-06, 'epoch': 0.02}
{'loss': 1.3691, 'grad_norm': 5.528162956237793, 'learning_rate': 9.62962962962963e-06, 'epoch': 0.02}
{'loss': 1.1005, 'grad_norm': 7.485512733459473, 'learning_rate': 9.679012345679012e-06, 'epoch': 0.02}
{'loss': 1.1974, 'grad_norm': 6.095458507537842, 'learning_rate': 9.728395061728396e-06, 'epoch': 0.02}
{'loss': 1.5982, 'grad_norm': 7.802148818969727, 'learning_rate': 9.777777777777779e-06, 'epoch': 0.02}
{'loss': 1.1639, 'grad_norm': 6.965437412261963, 'learning_rate': 9.827160493827161e-06, 'epoch': 0.02}
{'loss': 1.2919, 'grad_norm': 5.579522132873535, 'learning_rate': 9.876543209876543e-06, 'epoch': 0.02}
{'loss': 0.8678, 'grad_norm': 6.661591529846191, 'learning_rate': 9.925925925925927e-06, 'epoch': 0.02}
{'loss': 1.7213, 'grad_norm': 7.980738639831543, 'learning_rate': 9.975308641975308e-06, 'epoch': 0.02}
{'loss': 1.0382, 'grad_norm': 6.6439104080200195, 'learning_rate': 1.0024691358024692e-05, 'epoch': 0.02}
{'loss': 1.3652, 'grad_norm': 6.895063400268555, 'learning_rate': 1.0074074074074074e-05, 'epoch': 0.02}
{'loss': 1.3003, 'grad_norm': 6.613581657409668, 'learning_rate': 1.0123456790123458e-05, 'epoch': 0.02}
{'loss': 1.2604, 'grad_norm': 6.272041320800781, 'learning_rate': 1.0172839506172839e-05, 'epoch': 0.02}
{'loss': 1.13, 'grad_norm': 7.176023006439209, 'learning_rate': 1.0222222222222223e-05, 'epoch': 0.02}
{'loss': 1.4027, 'grad_norm': 6.681060314178467, 'learning_rate': 1.0271604938271605e-05, 'epoch': 0.02}
{'loss': 1.3916, 'grad_norm': 6.769104480743408, 'learning_rate': 1.032098765432099e-05, 'epoch': 0.02}
{'loss': 1.5103, 'grad_norm': 9.057523727416992, 'learning_rate': 1.037037037037037e-05, 'epoch': 0.02}
{'loss': 1.2901, 'grad_norm': 6.959716796875, 'learning_rate': 1.0419753086419754e-05, 'epoch': 0.02}
{'loss': 1.3221, 'grad_norm': 5.477228164672852, 'learning_rate': 1.0469135802469136e-05, 'epoch': 0.02}
{'loss': 0.9711, 'grad_norm': 3.3607516288757324, 'learning_rate': 1.051851851851852e-05, 'epoch': 0.02}
{'loss': 1.0605, 'grad_norm': 6.313080787658691, 'learning_rate': 1.0567901234567901e-05, 'epoch': 0.02}
{'loss': 1.1308, 'grad_norm': 5.802401542663574, 'learning_rate': 1.0617283950617285e-05, 'epoch': 0.02}
{'loss': 1.1249, 'grad_norm': 6.572190284729004, 'learning_rate': 1.0666666666666667e-05, 'epoch': 0.02}
{'loss': 0.7636, 'grad_norm': 5.43854284286499, 'learning_rate': 1.071604938271605e-05, 'epoch': 0.02}
{'loss': 0.8752, 'grad_norm': 7.2019429206848145, 'learning_rate': 1.0765432098765432e-05, 'epoch': 0.02}
{'loss': 1.1736, 'grad_norm': 6.065878868103027, 'learning_rate': 1.0814814814814816e-05, 'epoch': 0.02}
{'loss': 1.4488, 'grad_norm': 7.280027389526367, 'learning_rate': 1.0864197530864198e-05, 'epoch': 0.02}
{'loss': 1.1876, 'grad_norm': 5.736811637878418, 'learning_rate': 1.091358024691358e-05, 'epoch': 0.02}
{'loss': 1.0872, 'grad_norm': 6.2970380783081055, 'learning_rate': 1.0962962962962963e-05, 'epoch': 0.02}
{'loss': 1.6421, 'grad_norm': 6.87779426574707, 'learning_rate': 1.1012345679012345e-05, 'epoch': 0.02}
{'loss': 1.1344, 'grad_norm': 7.03671407699585, 'learning_rate': 1.106172839506173e-05, 'epoch': 0.02}
{'loss': 1.0929, 'grad_norm': 5.506629467010498, 'learning_rate': 1.111111111111111e-05, 'epoch': 0.02}
{'loss': 1.4873, 'grad_norm': 6.699973106384277, 'learning_rate': 1.1160493827160494e-05, 'epoch': 0.02}
{'loss': 1.2994, 'grad_norm': 5.551385879516602, 'learning_rate': 1.1209876543209876e-05, 'epoch': 0.02}
